,orderno,sentence
65,104-11,These results indicate that the proposed method provides accurate phenotypic data on maize seedlings.
66,105-1,The supervised deep networks have shown great potential in improving the classification performance.
67,105-2,"However, training these supervised deep networks is very challenging for hyperspectral image given the tact that usually only a small amount of labeled samples are available."
68,105-3,"In order to overcome this problem and enhance the discriminative ability of the network, in this paper, we propose a deep network architecture for a super-resolution (SR)-aided hyperspectral image classification with classwise loss (SRCL)."
69,105-4,"First, a three-layer SR convolutional neural network (SRCNN) is employed to reconstruct a high-resolution image from a low-resolution image."
70,105-5,"Second, an unsupervised triplet-pipeline CNN (TCNN) with an improved classwise loss is built to encourage intraclass similarity and interclass dissimilarity."
71,105-6,"Finally, SRCNN, TCNN, and a classification module are integrated to define the SRCL, which can be fine-tuned in an end-to-end manner with a small amount of training data."
72,105-7,"Experimental results on real hyperspectral images demonstrate that the proposed SRCL approach outperforms other state-of-the-art classification methods, especially for the task in which only a small amount of training data are available."
73,106-1,"Flood inundation probability is critical for situation awareness, flood mitigation, emergency response, and postevent damage assessment."
74,106-2,Current flood inundation mapping approaches can be categorized into real-time (RT) and near-RT (NRT) processes based on the timing of data acquisition.
75,106-3,"However, the intrinsic limitations of each category largely hamper their applications for flood mapping."
76,106-4,"Taking the 2015 South Carolina flood in downtown Columbia as a case study, this paper proposes a flood inundation reconstruction model by enhancing the NRT normalized difference water index (NDWI) derived from remote sensing imagery with the RT data including stream gauge readings and social media (tweets)."
77,106-5,"Splitting into three modules: water height module, global enhancement module, and local enhancement module, the proposed model first incorporates the gauge readings and the NDWI image to reconstruct a macroscale flood probability layer, which is then locally enhanced using the verified flood-related tweets."
78,106-6,The final output of the model matches well with the U.S.
79,106-7,Geological Survey inundation map and its surveyed high-water marks.
80,106-8,"Results suggest that by enhancing NRT imagery with RT data sources, the proposed flood inundation probability reconstruction model renders a more robust, spatially enhanced flood probability index for emergency responders to quickly identify areas in need of urgent attention."
81,107-1,Convolution neural network (CNN) utilizes alternating convolutional and pooling layers to learn representative spatial information when the training samples are sufficient.
82,107-2,"However, for pixelwise classification of hyperspectral image, some important information is neglected by CNN, such as the erased information by the pooling operation and the appearance information from lower layers."
83,107-3,"Moreover, the lack of training samples is a common situation in remote sensing area, which afflicts CNN with overfitting problem."
84,107-4,"To address the aforementioned issues, this paper designs an end-to-end deconvolution network with skip architecture to learn the spectral-spatial features."
85,107-5,"The proposed network starts with two branches, i.e., the spatial branch and spectral branch."
86,107-6,"In the spatial branch, a band selection layer is designed to reduce parameters and remit the overfitting problem, unpooling and deconvolution operations are utilized to recover the erased information of the pooling layers and learn pixelwise spatial representation hierarchically, and the skip architecture is constructed for merging the deep semantic information with the shallow appearance information."
87,107-7,"In the spectral branch, a contextual deep network is employed for learning deep spectral features."
88,107-8,Experimental results on three benchmark data sets reveal the competitive performance of the proposed approach over several related methods.
89,108-1,Pansharpening regards the fusion of a high-spatial resolution panchromatic image with a low-spatial resolution multispectral image.
90,108-2,One of the most debated topics about pansharpening is related to the quality assessment of fused products.
91,108-3,Two main assessment procedures are usually exploited in the literature: the reduced resolution validation and the full-resolution (FR) validation.
92,108-4,"The former has the advantage to be accurate, but the hypothesis of invariance among scales has to be assumed."
93,108-5,The latter overcomes this limitation but paying it with a lower accuracy.
94,108-6,"In this paper, we will focus on the FR assessment proposing an approach for estimating an overall quality index at FR by using multiscale FR measurements."
95,108-7,The problem is recast into the sequential Bayesian framework exploiting a Kalman filter to find its solution.
96,108-8,"The proposed procedure for quality evaluation has been tested on four real data sets acquired by the Pleiades, the GeoEye-1, the WorldView-3, and the WorldView-4 sensors assessing the quality of 19 pansharpened methods."
97,108-9,The proposed approach has demonstrated its superiority with respect to the benchmark consisting of state-of-the-art quality assessment procedures.
98,109-1,Accurate information about ocean surface currents is of high importance for many purposes.
99,109-2,"Traditional ways of measuring surface currents using instruments immersed in water are associated with various challenges, as well as high installation and maintenance costs."
100,109-3,Algorithms and hardware used to measure surface currents based on marine X-band radar images have been steadily improved during the recent decades.
101,109-4,"Such systems can now provide the user with current measurements with high accuracy in local areas of interest and with no need for underwater equipment, both from fixed sites and from moving installations, such as vessels."
102,109-5,The primary focus of the work presented in this paper is to examine the measurement accuracy of an X-band radar-based system.
103,109-6,"For this purpose, field trials have been arranged and data acquired from a fixed platform in the North Sea in November 2015 and December 2015 and from a research vessel in the Norwegian Sea and the Barents Sea in November 2016."
104,109-7,"Data are analyzed, measured time series are compared to reference measurements and tidal current models, and statistical estimates of the measurement accuracy are calculated."
105,109-8,"Root-mean-square measurement errors of 0.032 m/s and 9.1 degrees for magnitude and direction, respectively, are estimated for the fixed installation."
106,109-9,"Correlation coefficients are 0.93 and 0.94 for east-west and north-south components, respectively."
107,109-10,A pooled standard deviation of 0.059 m/s is estimated for the moving installation.
108,11-1,"Rugged terrain distorts optical remote sensing signals, and land-cover classification and biophysical parameter retrieval over mountainous regions must account for topographic effects."
109,11-2,"Therefore, topographic correction is a prerequisite for many remote sensing applications."
110,11-3,"In this study, we proposed a semi-physically based and simple topographic correction method for vegetation canopies based on path length correction (PLC)."
111,11-4,"The PLC method was derived from the solution to the classic radiative transfer equation, and the influence of terrain on the radiative transfer process within the canopy is explicitly considered, making PLC physically sound."
112,11-5,The radiative transfer equation was simplified to make PLC mathematically simple.
113,11-6,Near-nadir observations derived from a Landsat 8 Operational Land Imager (OLI) image covering a mountainous region and wide field-of-view observations derived from simulation using a canopy reflectance model were combined to test the PLC correction method.
114,11-7,Multi-criteria were used to provide objective evaluation results.
115,11-8,"The performances were compared to that of five other methods: CC, SCS + C, and SE, which are empirical parameter-based methods, and SCS and DS, which are semi-physical methods without empirical parameter."
116,11-9,All the six methods could significantly reduce the topographic effects.
117,11-10,"However, SCS showed obvious overcorrection for near-nadir observations."
118,11-11,The correction results from D-S showed an obvious positive bias.
119,11-12,"For near-nadir observations, the performance of PLC was comparable to the well-validated parameter-based methods."
120,11-13,"For wide field-of-view observations, PLC obviously outperformed all other methods."
121,11-14,"Because of the physical soundness and mathematical simplicity, PLC provides an efficient approach to correct the terrain-induced canopy BRDF distortion and will facilitate the exploitation of multi-angular information for biophysical parameter retrieval over mountainous regions."
122,110-1,"Satellite-observed surface temperatures over heterogeneous urban pixels are generally determined by viewing and illumination angles, as well as by 3-D geometries and component temperature distributions of urban surfaces."
123,110-2,This paper focuses on developing a Geometric model to simulate Urban Thermal Anisotropy considering overlaps of shadows on the ground for simplified neighborhoods (GUTA-osg).
124,110-3,A Boolean model and projections for buildings are used to calculate the average fractions of urban components in a field of view.
125,110-4,Simulation results derived from GUTA-osg are compared with those from the 3-D discrete anisotropic radiative transfer model.
126,110-5,"At view and solar zenith angles lower than 50 degrees, GUTA-osg can be applied to urban scenes of h/w < 2.0 (building-height-to-spacing ratio) with confidence where errors of the estimated fraction of walls and shaded ground are less than 0.1."
127,110-6,"As h/w increases, GUTA-osg performs well when applied to urban scenes with smaller building plan area index values (e.g., lambda(p) < 0.3 for h/w = 2.0-4.0)."
128,110-7,"GUTA-osg accurately simulates the anisotropy of airborne measured temperatures, with R-2 > 0.85 and root mean square errors < 0.8 K."
129,110-8,"Biases of the model can result from: 1) the neglect of shadows on walls cast by adjacent buildings and 2) model simplifications, including constant building heights and random distributions of building location and orientation."
130,110-9,"GUTA-osg uses urban morphologic indexes as inputs, and coefficient values can be derived by fitting against multiangular thermal infrared observations."
131,110-10,The model can be used to adjust the directional temperature to a common viewing geometry.
132,111-1,A method to assess global land surface water (fw) inundation dynamics was developed by exploiting the enhanced fw sensitivity of L-band (1.4 GHz) passive microwave observations from the Soil Moisture Active Passive (SMAP) mission.
133,111-2,The L-band fw (fw(LBand)) retrievals were derived using SMAP H-polarization brightness temperature (T-b) observations and predefined L-band reference microwave emissivities for water and land end-members.
134,111-3,Potential soil moisture and vegetation contributions to the microwave signal were represented from overlapping higher frequency T-b observations from AMSR2.
135,111-4,The resulting fw(LBand) global record has high temporal sampling (1-3 days) and 36-km spatial resolution.
136,111-5,"The fw(LBand) annual averages corresponded favorably (R = 0.85, p-value < 0.001) with a 250-m resolution static global water map (MOD44W) aggregated at the same spatial scale, while capturing significant inundation variations worldwide."
137,111-6,The monthly fw(LBand) averages also showed seasonal inundation changes consistent with river discharge records within six major US river basins.
138,111-7,"An uncertainty analysis indicated generally reliable fw(LBand) performance for major land cover areas and under low to moderate vegetation cover, but with lower accuracy for detecting water bodies covered by dense vegetation."
139,111-8,Finer resolution (30-m)fw(LBand) results were obtained for three sub-regions in North America using an empirical downscaling approach and ancillary global Water Occurrence Dataset (WOD) derived from the historical Landsat record.
140,111-9,"The resulting 30-m fw(LBand) retrievals showed favorable spatial accuracy for water (commission error 31.46%, omission error 30.20%) and land (commission error 0.87%, omission error 0.96%) classifications and seasonal wet and dry periods when compared to independent water maps derived from Landsat-8 imagery."
141,111-10,"The new fw(LBand) algorithms and continuing SMAP and AMSR2 operations provide for near real-time, multi-scale monitoring of global surface water inundation dynamics and potential flood risk."
142,112-1,"In cities, vegetation temperature is important for quantifying water use, microclimates, and water and energy fluxes, as demonstrated by urban climate models and in situ studies."
143,112-2,"Remote sensing is capable of observing land surface temperatures (LST) across a city; however, its ability to quantify vegetation canopy temperatures is limited because of LST variability resulting from urban surface heterogeneity, differences in vegetation fraction and non-vegetated material, and the coarse resolution of available thermal imagery."
144,112-3,"This study is a large-scale analysis of urban surface composition and temperature variability across the Los Angeles, USA, metropolitan area (4466 km(2))."
145,112-4,"Sub-pixel fractions of two plant functional types (tree and turfgrass) and four urban materials (impervious surface, commercial roof, non-photosynthetic vegetation, and soil) were quantified using hyperspectral imagery (Airborne Visible/Infrared Imaging Spectrometer)."
146,112-5,"Fractional cover gradients of plant types and non-vegetated materials were developed using 1.7 million pixels, from which we modeled LST changes using simultaneously collected thermal imagery (MODIS-ASTER Airborne Simulator)."
147,112-6,Vegetation LST variability was mapped by subtracting modeled LST from observed LST and investigated relative to building density and vegetation management.
148,112-7,"Overall, LST varied significantly among plant functional types and urban material types."
149,112-8,"Across heterogeneous mixtures, LST and vegetation fraction exhibited a negative, linear relationship, with the slopes of LST change showing significant differences between trees and turfgrass."
150,112-9,"The map of vegetation LST variability had a standard deviation of 3.5 degrees C, indicating significant variability across Los Angeles independent of vegetation type or fractional cover."
151,112-10,"Building density was observed to affect tree and turfgrass LST differently, while a negative relationship was observed between vegetation LST and irrigation (R-2 = 0.55)."
152,112-11,"Our results show that an LST signal of vegetation function, distinct from that of vegetation fractional cover, can be observed and modeled at city-scales in fractional mixture analysis, indicating potential for improved understanding of urban microclimates."
153,113-1,The proximity of seagrass meadows to centers of human activity makes them vulnerable to a variety of habitat degrading insults.
154,113-2,Physical scarring has long been recognized as an important but difficult-to-quantify source of habitat fragmentation and seagrass loss.
155,113-3,"We present a pixel-based algorithm to detect seafloor propeller seagrass scars in shallow water that promises to automate the detection and measurement of scars across the submarine landscape. (1)We applied the algorithm to multispectral and panchromatic images captured at the Deckle Beach, Florida using the WorldView-2 commercial satellite."
156,113-4,The algorithm involves four steps using spectral and spatial information from radiometrically calibrated multispectral and panchromatic images.
157,113-5,"First, we fused multispectral and panchromatic images using a principal component analysis (PCA)-based pan-sharpening method to obtain multispectral pan-sharpened bands."
158,113-6,"In the second step, we enhanced the image contrast of the pan-sharpened bands for better scar detection."
159,113-7,"In the third step, we classified the contrast enhanced image pixels into scar and non-scar categories based on a sparse coding algorithm that produced an initial scar map in which false positive scar pixels were also present."
160,113-8,"In the fourth step, we applied post-processing techniques including a morphological filter and local orientation to reduce false positives."
161,113-9,Our results show that the proposed method may be implemented on a regular basis to monitor changes in habitat characteristics of coastal waters.
162,114-1,"With the maturation of methods for estimating aboveground forest biomass by remote sensing, researchers increasingly need test data, particularly ground reference data, that are large enough to fine-tune existing approaches and test their robustness under diverse conditions."
163,114-2,"In this context, realistic synthetic datasets present an interesting alternative to costly and limited field data."
164,114-3,"Here, we present a new approach to simulate realistic canopy height and cover type data by combining an individual-tree forest simulator with real LiDAR point clouds of individual trees."
165,115-1,Land degradation (LD) is one of the most catastrophic outcomes of long-lasting drought events and anthropogenic activities.
166,115-2,Assessing climate and human-induced impacts on land can provide information for decision makers to mitigate the effects of these phenomena.
167,115-3,"The Northeastern region of Brazil (NEB) is the most populous dryland on the planet, making it a highly vulnerable ecosystem especially when considering the lingering drought that started in 2012."
168,115-4,The present work consisted of detecting trends in biomass [leaf area index (LAI)] anomalies as indicators of LD in NEB.
169,115-5,"We also assessed how the loss of vegetation impacts the LD cycle, by measuring trends in albedo and evapotranspiration (ET)."
170,115-6,"LAI, albedo and ET data were derived from MODIS sensors at 8-day temporal and 500 m spatial resolutions."
171,115-7,"For precipitation anomalies, we relied on CHIRPS-v2 10-day temporal at 5 km spatial resolution data."
172,115-8,"For detecting trends, we applied the Theil-Sen slope analysis on time series of MODIS LAI, albedo and ET images."
173,115-9,Trend analysis was performed for the periods ranging from 2002-2012 (no severe droughts) to 2002-2016 (including the last drought).
174,115-10,"LAI trends were more pronounced and had a stronger signal than ET and albedo, therefore, LAI was our choice for mapping LD."
175,115-11,The first analysis highlighted the human-induced LD prone areas whereas the last detected drought-induced LD prone areas.
176,115-12,"Considering only the trending areas, which was about 23.4% of the total, 4.5% of this area has undergone human-induced degradation whereas drought was responsible for 73%, although, not mutually exclusive."
177,115-13,"As reported in the literature and official data, grazing intensification might be a factor driving human-induced degradation."
178,115-14,"We noticed that the range of variation of LAI is narrow and even narrower for albedo, which demonstrates that land surface response is more influenced by soil reflectivity rather than the characteristic sparse vegetation coverage (LAI ranging from 0.04 to 0.4 in the Caatinga biome), which can barely alter albedo."
179,115-15,"Finally, the effects of LD on ET anomalies were assessed by Granger causality and impulse-response analyses as means to link land surface feature changes to the hydrological cycle."
180,115-16,Albedo had a slightly weaker impulse than LAI on ET whereas precipitation played a major role.
181,115-17,"These relations are site-specific and, land surface features (biomass and albedo) showed to have a more substantial influence on ET in severely degraded areas."
182,115-18,"We concluded that drought led to trends indicating LD prone areas in NEB and the degradation cycle has positive feedback derived from ET reduction resulting in an increased net moisture deficit, although the latter statement has yet to be further investigated."
183,115-19,The study warns of the desertification risk that NEB is facing and the need for the authorities to take action to mitigate degradation and drought effects on both traditionally surveyed (desertification nuclei) and newfound LD prone areas.
184,115-20,"We also highlight the limitation of confirming LD, as to date there is no post-drought data available and, lessons learned from the Sahel case make us cautious about claiming that an area is in fact degraded."
185,116-1,"Monitoring scene-level land-use in urban coastal zones has become a critical and challenging task, due to the rising risk of marine disasters and the greater number of scene classes such as harbors."
186,116-2,"Since street blocks are physical containers of different classes of land-use in urban zones, some scene classification methods based on high-spatial-resolution remote sensing images take blocks segmented by roads as classification units."
187,116-3,"However, these methods extract handcrafted low-level features from remote sensing images, limiting their ability to represent street blocks."
188,116-4,"To extract semantically meaningful representations of street blocks, the sparse auto-encoder (SAE) model was employed for local feature extraction in this paper and a multi-level method based on the fusion of local features was proposed for block-based land-use scene classification in urban coastal zones."
189,116-5,"First, convolved feature maps of street blocks were extracted by taking the hidden layer of the SAE as convolution kernels."
190,116-6,"Then, the local features were fused at three levels to generate more robust and discriminative representations of patches in convolved feature maps."
191,116-7,"The combination patterns and the absolute relationship of local features were captured at the first and second level, respectively."
192,116-8,A convolution neural network was utilized to make the local features more discriminative to semantic information at the third level.
193,116-9,"Finally, the bag-of-visual-words model was employed to generate global features for street blocks."
194,116-10,"The proposed method was tested for Qingdao, China using Gaofen-2 (GF-2) satellite images and an overall accuracy of 83.80% was achieved in the study area."
195,116-11,The classification results indicate that the proposed method in concert with GF-2 images has potential for accurately monitoring land-use scenes in urban coastal zones.
196,117-1,Numerous methods have been successfully applied to estimate the regional impervious surface dynamics based on spectral or spatial information from remote sensing imagery.
197,117-2,"However, previous methods mainly focused on mapping impervious surfaces at annual or decadal time scales."
198,117-3,"Few studies have attempted to map impervious surface dynamics at finer time scales, such as on a seasonal time scale using temporal information."
199,117-4,This study aims to map regional impervious surface dynamics on a seasonal time scale by using time series Landsat data.
200,117-5,"The semi-supervised support vector machine (SVM) algorithm was employed for classifying impervious surfaces based on temporal characteristics, which were derived from seasonal time series biophysical composition index (BCI) and seasonal time series modified normalized difference impervious surface index (NDISI)."
201,117-6,The proposed method was validated over the Wuhan urban agglomeration (WUA) in China from 2000 to 2016.
202,117-7,"The results showed that impervious surfaces in the Wuhan urban agglomeration increased from 903.24 km(2) in 2000 to 3989.49 km(2) in 2016, with an annual growth rate of 20.10%."
203,117-8,"Additionally, the proposed method yielded reasonable average overall classification accuracy (up to 88%)."
204,117-9,Our results demonstrated that the proposed method could accurately map seasonal impervious surface dynamics based on temporal characteristics.
205,117-10,This study could enable the monitoring of time-intensive impervious surfaces at a regional scale using remote sensing data.
206,118-1,"Leaf area index (LAI) is an important forest structural parameter that can be used to characterize various biophysical processes such as photosynthesis, evapotranspiration, and carbon flux."
207,118-2,Accurate monitoring of LAI therefore is crucial for efficient management of managed and natural vegetation ecosystems.
208,118-3,"Remote sensing techniques have proved useful in the quantification and monitoring of LAI in different vegetation types; however, most of the focus has been on vegetation with relatively large LAI ranges."
209,118-4,"This study aimed to investigate the utility of airborne light detection and ranging (lidar) data to estimate narrow-range LAI (min = 0.71, max = 1.56, mean = 1.08 +/- 0.18) of intensively-managed Eucalyptus grandis plantations."
210,118-5,The secondary aim of the study was to assess the effect of lidar point density on LAI retrieval.
211,118-6,Reference LAI was quantified in 15 m radius sample plots (n = 46) using hemispherical photography.
212,118-7,Akaike Information Criterion (AIC) regression was used to build candidate models that estimate LAI from lidar-derived height and density metrics.
213,118-8,"The correlations were investigated at different point densities, including the original (> 6 points/m(2)) and reduced density levels (0.25-5 points/m(2))."
214,118-9,"Candidate models returned adjusted coefficient of determination ((adj, R-2)) ranging between 0.65-0.83 (RMSE 7.0-10.0% of observed mean) depending on the number of predicting metrics included in the models."
215,118-10,"A model that had two non-collinear metrics was selected as a compromise model ((adj, R-2) = 0.67; RMSE = 9.7%); this model was comparable to the best model, which had many collinear metrics."
216,118-11,"Estimation accuracies were similar for lidar densities of the original, 2-5 points/m(2) and less accurate for 0.25-1 point/m(2)."
217,118-12,These findings demonstrated the capability of lidar in estimating observed LAI with low range and variation.
218,118-13,The study also suggests the efficacy of moderate lidar point densities acquired at relatively low-cost surveys in attaining acceptable LAI estimation accuracy.
219,119-1,"In semi-arid conditions, nitrogen (N) is the main limiting factor of crop yield after water, and its accurate quantification remains essential."
220,119-2,Recent studies have demonstrated that solar-induced chlorophyll fluorescence (SW) quantified from hyperspectral imagery is a reliable indicator of photosynthetic activity in the context of precision agriculture and for early stress detection purposes.
221,119-3,The role of fluorescence might be critical to our understanding of N levels due to its link with photosynthesis and the maximum rate of carboxylation (Vcmax) under stress.
222,119-4,The research presented here aimed to assess the contribution played by airborne-retrieved solar-induced chlorophyll fluorescence (SIF) to the retrieval of N under irrigated and rainfed Mediterranean conditions.
